,season,team1,team2,0,teams,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
54,1871.0,TRO,CHC,2.0,CHCTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1871.0,TRO,CL1,2.0,CL1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1871.0,TRO,FW1,1.0,FW1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1871.0,TRO,NY2,2.0,NY2TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1871.0,TRO,PH1,1.0,PH1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1871.0,TRO,RC1,3.0,RC1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1871.0,TRO,WS3,3.0,TROWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1871.0,WS3,ATL,3.0,ATLWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1871.0,WS3,CHC,1.0,CHCWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1871.0,WS3,CL1,1.0,CL1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1871.0,WS3,FW1,2.0,FW1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1871.0,WS3,NY2,1.0,NY2WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1871.0,WS3,PH1,2.0,PH1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1871.0,WS3,RC1,2.0,RC1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1871.0,WS3,TRO,2.0,TROWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1872.0,ATL,BL1,3.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1872.0,ATL,BR1,1.0,ATLBR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1872.0,ATL,BR2,4.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1872.0,ATL,CL1,2.0,ATLCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1872.0,ATL,MID,1.0,ATLMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1872.0,ATL,NY2,4.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1872.0,ATL,PH1,4.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1872.0,ATL,TRO,2.0,ATLTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1872.0,BL1,ATL,4.0,ATLBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1872.0,BL1,BR1,4.0,BL1BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1872.0,BL1,BR2,3.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1872.0,BL1,CL1,2.0,BL1CL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1872.0,BL1,MID,3.0,BL1MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1872.0,BL1,NY2,3.0,BL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1872.0,BL1,PH1,5.0,BL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1872.0,BL1,TRO,1.0,BL1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1872.0,BL1,WS3,1.0,BL1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1872.0,BL1,WS4,2.0,BL1WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1872.0,BR1,ATL,2.0,ATLBR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1872.0,BR1,BL1,2.0,BL1BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1872.0,BR1,BR2,3.0,BR1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1872.0,BR1,CL1,1.0,BR1CL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1872.0,BR1,NY2,3.0,BR1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1872.0,BR1,PH1,1.0,BR1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1872.0,BR1,TRO,2.0,BR1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1872.0,BR2,ATL,4.0,ATLBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1872.0,BR2,BL1,3.0,BL1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1872.0,BR2,BR1,1.0,BR1BR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1872.0,BR2,CL1,2.0,BR2CL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1872.0,BR2,MID,1.0,BR2MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1872.0,BR2,NY2,4.0,BR2NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1872.0,BR2,PH1,2.0,BR2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1872.0,BR2,TRO,1.0,BR2TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1872.0,CL1,ATL,2.0,ATLCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1872.0,CL1,BL1,3.0,BL1CL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1872.0,CL1,NY2,1.0,CL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1872.0,CL1,PH1,1.0,CL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1872.0,MID,ATL,2.0,ATLMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1872.0,MID,BL1,1.0,BL1MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1872.0,MID,BR1,1.0,BR1MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1872.0,MID,BR2,2.0,BR2MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1872.0,MID,CL1,1.0,CL1MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1872.0,MID,NY2,1.0,MIDNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1872.0,MID,TRO,2.0,MIDTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1872.0,NY2,ATL,5.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1872.0,NY2,BL1,6.0,BL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1872.0,NY2,BR1,2.0,BR1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1872.0,NY2,BR2,4.0,BR2NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1872.0,NY2,CL1,2.0,CL1NY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1872.0,NY2,MID,3.0,MIDNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1872.0,NY2,PH1,4.0,NY2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1872.0,NY2,TRO,2.0,NY2TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1872.0,PH1,ATL,4.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1872.0,PH1,BL1,5.0,BL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1872.0,PH1,BR1,3.0,BR1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1872.0,PH1,BR2,2.0,BR2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1872.0,PH1,CL1,2.0,CL1PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1872.0,PH1,MID,2.0,MIDPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1872.0,PH1,NY2,5.0,NY2PH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1872.0,PH1,TRO,1.0,PH1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1872.0,PH1,WS4,1.0,PH1WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1872.0,TRO,ATL,1.0,ATLTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1872.0,TRO,BL1,2.0,BL1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1872.0,TRO,BR1,1.0,BR1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1872.0,TRO,BR2,1.0,BR2TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1872.0,TRO,CL1,1.0,CL1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1872.0,TRO,MID,2.0,MIDTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1872.0,TRO,NY2,3.0,NY2TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1872.0,TRO,PH1,1.0,PH1TRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1872.0,WS3,ATL,1.0,ATLWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1872.0,WS3,BL1,1.0,BL1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1872.0,WS3,CL1,1.0,CL1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1872.0,WS3,NY2,1.0,NY2WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1872.0,WS3,PH1,1.0,PH1WS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1872.0,WS3,TRO,1.0,TROWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1872.0,WS3,WS4,1.0,WS3WS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
